id,product_name,console,condition,status,saved_selected_market_value,saved_price_loose,saved_price_cib,pc_loose,pc_cib,pc_new,pc_graded,pc_selected_market_value,delta_selected,pc_product_id,pc_product_name,pc_platform,match_strategy,flag
00c61450-b5c4-4355-bf29-dfad16b9e80c,NBA 2K13,PlayStation 3,CIB,available,5,5,0,6.64,0,0,0,0,-5,33145,NBA 2K13,Playstation 3,title_platform,ok
dd21e922-d453-4a37-8a0b-ad64354f4c4b,NBA 2K16,Xbox 360,CIB,available,7.53,7.21,7.53,7.98,0,0,0,0,-7.53,36012,NBA 2K16,Playstation 4,title_only,ok
1d17f780-d3b6-49e4-a29b-0d59ac3a3c43,NBA 2K17,Xbox One,CIB,available,6.45,4.96,6.45,5.43,0,0,0,0,-6.45,36949,NBA 2K17,Xbox One,upc,ok
1d5babd4-fbec-4f71-b58c-a61b6464325b,NBA 2K18,Xbox One,CIB,available,4.89,4.25,4.89,4.25,0,0,0,0,-4.89,39634,NBA 2K18,Xbox One,stored_id,ok
e7e7f176-68b0-4079-a50a-910bce0c7423,NBA Live 08,PlayStation 3,CIB,available,3.7,3.7,0,5.29,0,0,0,0,-3.7,9429,NBA Live 2008,PSP,title_only,ok
7aa5f31e-3302-4448-889c-74a87b5ef7ae,NBA Live 2002,PlayStation 2,CIB,available,6.13,2.92,6.13,2.92,0,0,0,0,-6.13,5550,NBA Live 2002,Playstation 2,upc,ok
6a05bb72-7c1d-489a-936d-5bf2ece7321f,NBA Live 2005,GameCube,CIB,available,8.77,6.45,8.77,4.95,0,0,0,0,-8.77,5553,NBA Live 2005,Playstation 2,title_only,ok
dcaa57e5-55dc-4f48-9d4d-74dec5da8256,NBA Live 2006,PlayStation 2,CIB,available,6.38,3.94,6.38,3.96,0,0,0,0,-6.38,5554,NBA Live 2006,Playstation 2,title_only,ok
e1738cc5-9b1e-4c58-934d-b6ed13e5589f,NBA Live 2006,Xbox,CIB,available,6,4.14,6,3.96,0,0,0,0,-6,5554,NBA Live 2006,Playstation 2,title_only,ok
20a4e4b4-4fc2-4e63-91b6-6e16283c6230,NCAA Football 2005,GameCube,CIB,available,10.46,8.5,10.46,8.5,0,0,0,0,-10.46,3439,NCAA Football 2005,Gamecube,title_platform,ok
d5fdf5f2-d586-4748-b5e8-23ce4fed8131,NCAA Football 2005,Xbox,CIB,available,5.98,1.86,5.98,1.86,0,0,0,0,-5.98,20077,NCAA Football 2005 Top Spin Combo,Xbox,stored_id,ok
46062e72-f737-4c2d-be7d-f9043823eb93,NCAA March Madness 2004,Xbox,CIB,available,6.38,6.06,6.38,6.06,0,0,0,0,-6.38,6455,NCAA March Madness 2004,Xbox,upc,ok
9a73fd18-1f4a-47cb-b817-dd2c404115d4,NCAA March Madness 2004,Xbox,CIB,available,6.68,6.02,6.68,6.06,0,0,0,0,-6.68,6455,NCAA March Madness 2004,Xbox,upc,ok
c80162d6-5c81-49ca-9931-26c175ee33d1,NCAA March Madness 2005,Xbox 360,CIB,available,7.42,4.39,7.42,4.39,0,0,0,0,-7.42,6456,NCAA March Madness 2005,Xbox,upc,ok
547794a2-7080-4118-a992-bcf8005ef4d9,NCAA March Madness 2006,Xbox,CIB,available,7.46,5.78,7.46,5.77,0,0,0,0,-7.46,6457,NCAA March Madness 2006,Xbox,upc,ok
9d4f5e44-eea4-4cff-843a-90cc5d7e13e6,Need for Speed Most Wanted,GameCube,CIB,available,37.5,27.04,37.5,26.89,0,0,0,0,-37.5,3442,Need for Speed Most Wanted,Gamecube,title_platform,ok
91a28b84-19de-46ef-810f-1b2ad22c0604,Need for Speed Underground 2,Xbox,CIB,available,18.93,14.97,18.93,15.75,0,0,0,0,-18.93,6463,Need for Speed Underground 2,Xbox,title_platform,ok
801a49a6-6edc-4f30-93f7-b9816e779064,NFL 2K3,GameCube,CIB,available,7,7,7,5.21,0,0,0,0,-7,3445,NFL 2K3,Gamecube,title_platform,ok
bee3b455-03a4-456d-aff1-0db63882c989,NFL 2K3,PlayStation 2,CIB,available,3.91,3.91,0,3.49,0,0,0,0,-3.91,5585,NFL 2K3,Playstation 2,upc,ok
676e749f-60a7-4628-8341-890002a290d2,NFL Blitz 2002,GameCube,CIB,available,15,10.35,15,10.35,0,0,0,0,-15,3192,NFL Blitz 2002,Gamecube,title_platform,ok
